,city,country_x,2000_ls,2005_ls,2010_ls,region,p2000,p2005,p2010,g2000,g2005,g2010
90,Bern,Switzerland,257,428,344,Europe,7.167908000000001,7.415006999999999,7.664318000000001,249.38857279169684,266.12982123317454,294.1234325595242
91,Tel Aviv1,Israel,900,875,1019,Asia,6.014953,6.604572,7.418399999999999,145.73288028756,162.09581371520994,198.39693578787308
92,Lome,Togo,134,352,411,Africa,4.7935039999999995,5.408044,6.027798,4.171727661558106,4.641277061308775,5.396533630046934
93,Sofia,Bulgaria,316,289,324,Europe,8.006158000000001,7.739115,7.494332,58.20729503627108,75.99580835408732,86.64807456732147
94,Asuncion,Paraguay,304,590,612,Americas,5.343539,5.897816,6.454548,20.272390462647646,23.00612611143607,29.996266772241036
95,San Salvador,El Salvador,579,707,697,Americas,5.940305,6.050513,6.192993,30.71737583250116,34.50116034568573,37.04142334866409
96,Managua,Nicaragua,235,263,298,Americas,5.073703999999999,5.424336,5.788163,10.846829498919893,12.668882015026988,15.128172852787909
97,Beirut,Lebanon,348,476,432,Asia,3.7423290000000002,4.05242,4.227596999999999,32.28801911172152,38.88414893217144,53.34693262610232
98,Copenhagen,Denmark,569,665,672,Europe,5.339501,5.419444,5.550142,169.01248455635954,179.88849235221346,180.18107233543262
99,Singapore,Singapore,623,800,881,Asia,3.9193000000000002,4.265999,5.086418,153.20814637570032,193.55742253165937,263.8333946265791
100,Helsinki,Finland,378,360,346,Europe,5.17337,5.244342,5.364546000000001,141.48039989026606,161.09683205175995,170.18210089451856
101,Oslo,Norway,277,295,276,Europe,4.490859,4.623298,4.8831109999999995,195.99675030304735,218.70742183787078,228.31191505078243
102,San Jose,Costa Rica,1294,1539,1590,Americas,3.91918,4.309412999999999,4.658887,31.89116994742269,38.963718160952126,48.34757655725869
103,Dublin,Ireland,445,483,567,Europe,3.80378,4.158042,4.4699,123.21621663300071,160.66927388737076,158.69425169856387
104,Zagreb,Croatia,275,304,300,Europe,4.505533000000001,4.441986,4.4033299999999995,54.80443940855509,68.16895219940194,71.32306919985523
105,Tbilisi,Georgia,251,226,224,Asia,4.7457650000000005,4.477006,4.352244,11.055598738359787,15.74675994804278,20.263823670800313
106,Montevideo,Uruguay,399,392,398,Americas,3.319066,3.322529,3.368786,31.717793838629312,32.008625140932,43.309135496432084
107,Ulaanbaatar,Mongolia,126,147,154,Asia,2.411369,2.547339,2.7560010000000004,5.324965800559573,7.289666694707848,9.977397597265247
108,Yerevan,Armenia,336,287,283,Asia,3.076098,3.065954,3.092072,7.060746192609256,12.55949696777251,15.152619472187178
109,Kingston,Jamaica,3389,3822,3921,Americas,2.581648,2.681653,2.7410520000000003,16.917373243320284,18.62553875727014,18.598366288097807
110,Ljubljana,Slovenia,157,150,152,Europe,1.985406,2.002084,2.02968,39.31361429449099,46.962272774988634,51.32285473442756
111,Riga,Latvia,189,226,223,Europe,2.3849720000000003,2.305528,2.2520599999999997,20.258867049966675,30.02819361788855,29.018886899605953
112,Tallinn,Estonia,126,133,132,Europe,1.370749,1.345857,1.34114,15.067488237854823,22.275160114963352,22.19232056647319
113,Georgetown,Guyana,1615,1802,1814,Americas,0.733101,0.746235,0.7544930000000001,1.8271839197579232,1.8927362588263712,2.324123376335187
