,city,country_x,corX,corY,radius,2000_ls,2005_ls,2010_ls,2015_ls,alpha-3,region
63,Bucharest,Romania,26.1025384,44.4267674,0.54157063251251,435,469,544,450,ROU,Europe
64,Ouagadougou,Burkina Faso,-1.5196603000000002,12.371427699999998,0.539820803600602,174,252,384,512,BFA,Africa
65,Bamako,Mali,-8.0028892,12.639231599999999,0.538065284143105,150,217,292,315,MLI,Africa
66,Santiago,Chile,-70.66926550000001,-33.4488897,0.536304018258301,889,935,916,983,CHL,Americas
67,Lusaka,Zambia,28.3228165,-15.3875259,0.534536949143836,150,185,243,271,ZMB,Africa
68,Amsterdam,Netherlands,4.9035614,52.367984299999996,0.532764019055341,1353,1675,1700,1855,NLD,Europe
69,Guatemala City,Guatemala,-90.50688240000001,14.6349149,0.530985169284416,562,725,777,842,GTM,Americas
70,Quito,Ecuador,-78.4678382,-0.1806532,0.529200340135945,336,401,451,504,ECU,Americas
71,Dakar,Senegal,-17.4676861,14.716676999999999,0.527409470904723,204,240,300,401,SEN,Africa
72,Conakry,Guinea,-13.578401199999998,9.641185499999999,0.525612499851364,180,180,215,339,GIN,Africa
73,Tunis,Tunisia,10.1815316,36.806494799999996,0.523809364177465,415,583,619,682,TUN,Africa
74,Brussels,Belgium,4.3517211,50.8503463,0.522,1099,1201,1206,1104,BEL,Europe
75,Porto Novo,Benin,2.6288522999999997,6.4968574,0.520184342324911,373,472,596,938,BEN,Africa
76,Athens,Greece,23.7275388,37.9838096,0.518362325019865,538,624,634,604,GRC,Europe
77,La Paz,Bolivia,-68.11929359999999,-16.489689000000002,0.516533880786149,120,179,179,196,BOL,Americas
78,Port au Prince,Haiti,-72.30743259999998,18.594395000000002,0.5146989411296671,450,528,695,737,HTI,Americas
79,Santo Domingo,Dominican Republic,-69.9312117,18.4860575,0.5128574363309939,380,398,570,641,DOM,Americas
80,Prague,Czech Republic,14.4378005,50.0755381,0.511009295414477,432,469,472,511,CZE,Europe
81,Lisbon,Portugal,-9.1393366,38.722252399999995,0.509154446116304,569,461,765,815,PRT,Europe
82,Stockholm,Sweden,18.068580800000003,59.3293235,0.507292814851541,543,443,447,539,SWE,Europe
83,Baku,Azerbaijan,49.8670924,40.4092617,0.505424326680068,390,357,372,677,AZE,Asia
84,Budapest,Hungary,19.040235,47.497912,0.5035489052713751,641,711,715,784,HUN,Europe
85,Amman,Jordan,35.9283716,31.945366600000003,0.50166647286818,454,605,683,909,JOR,Asia
86,Minsk,Belarus,27.5615244,53.904539799999995,0.49977695024880797,282,323,325,325,BLR,Europe
87,Abu Dhabi,United Arab Emirates,54.3773438,24.453884,0.497880256688292,151,143,179,178,ARE,Asia
88,Belgrade,Serbia,20.448921600000002,44.786568,0.49597630991812497,411,325,313,318,SRB,Europe
89,Vienna,Austria,16.3738189,48.208174299999996,0.49406502608462394,550,493,509,524,AUT,Europe
90,Bern,Switzerland,7.447446799999999,46.9479739,0.49214631970583705,257,428,344,342,CHE,Europe
91,Tel Aviv1,Israel,34.769241799999996,32.0687888,0.49022010362693197,900,875,1019,1193,ISR,Asia
92,Lome,Togo,1.2254183,6.1256261,0.48828628897399895,134,352,411,632,TGO,Africa
93,Sofia,Bulgaria,23.3218675,42.69770820000001,0.486344785106204,316,289,324,364,BGR,Europe
94,Asuncion,Paraguay,-57.575926,-25.263739899999997,0.4843954995662121,304,590,612,628,PRY,Americas
95,San Salvador,El Salvador,-89.2181911,13.692940300000002,0.48243833802881003,579,707,697,704,SLV,Americas
96,Managua,Nicaragua,-86.23617440000001,12.114992599999999,0.48047320424764595,235,263,298,324,NIC,Americas
97,Beirut,Lebanon,35.50177670000001,33.8937913,0.4785,348,476,432,911,LBN,Asia
98,Copenhagen,Denmark,12.568337199999998,55.676096799999996,0.47651862502949394,569,665,672,695,DNK,Europe
99,Singapore,Singapore,103.819836,1.352083,0.474528976986654,623,800,881,975,SGP,Asia
100,Helsinki,Finland,24.938379100000002,60.16985570000001,0.47253095136720896,378,360,346,402,FIN,Europe
101,Oslo,Norway,10.7522454,59.913868799999996,0.47052444144805106,277,295,276,340,NOR,Europe
102,San Jose,Costa Rica,-121.88632859999998,37.338208200000004,0.468509338220702,1294,1539,1590,1655,CRI,Americas
103,Dublin,Ireland,-6.2603097000000005,53.34980529999999,0.46648553032221707,445,483,567,584,IRL,Europe
104,Zagreb,Croatia,15.981918900000002,45.815010799999996,0.46445290396336203,275,304,300,270,HRV,Europe
105,Tbilisi,Georgia,44.827096000000004,41.71513770000001,0.462411342853957,251,226,224,235,GEO,Asia
106,Montevideo,Uruguay,-56.1645314,-34.901112700000006,0.46036072812523904,399,392,398,394,URY,Americas
107,Ulaanbaatar,Mongolia,106.9057439,47.886398799999995,0.45830093824909396,126,147,154,195,MNG,Asia
108,Yerevan,Armenia,44.4991029,40.179185700000005,0.456231848954016,336,287,283,325,ARM,Asia
109,Kingston,Jamaica,-117.9273733,33.707761100000006,0.45415333313760897,3389,3822,3921,3961,JAM,Americas
110,Ljubljana,Slovenia,14.5057515,46.0569465,0.45206526077547704,157,150,152,155,SVN,Europe
111,Riga,Latvia,24.1051865,56.94964870000001,0.44996749882630394,189,226,223,203,LVA,Europe
112,Tallinn,Estonia,24.7535747,59.4369608,0.44785991113293394,126,133,132,134,EST,Europe
113,Georgetown,Guyana,-77.07225849999999,38.9076089,0.445742358319242,1615,1802,1814,1932,GUY,Americas
