,,city,country_x,corX,corY,radius,2000_ls,2005_ls,2010_ls
80,79,Santo Domingo,Dominican Republic,-69.9312117,18.4860575,0.512857436,380,398,570
81,80,Prague,Czech Republic,14.4378005,50.0755381,0.511009295,432,469,472
82,81,Lisbon,Portugal,-9.1393366,38.7222524,0.509154446,569,461,765
83,82,Stockholm,Sweden,18.0685808,59.3293235,0.507292815,543,443,447
84,83,Baku,Azerbaijan,49.8670924,40.4092617,0.505424327,390,357,372
85,84,Budapest,Hungary,19.040235,47.497912,0.503548905,641,711,715
86,85,Amman,Jordan,35.9283716,31.9453666,0.501666473,454,605,683
87,86,Minsk,Belarus,27.5615244,53.9045398,0.49977695,282,323,325
88,87,Abu Dhabi,United Arab Emirates,54.3773438,24.453884,0.497880257,151,143,179
89,88,Belgrade,Serbia,20.4489216,44.786568,0.49597631,411,325,313
90,89,Vienna,Austria,16.3738189,48.2081743,0.494065026,550,493,509
91,90,Bern,Switzerland,7.4474468,46.9479739,0.49214632,257,428,344
92,91,Tel Aviv1,Israel,34.7692418,32.0687888,0.490220104,900,875,1019
93,92,Lome,Togo,1.2254183,6.1256261,0.488286289,134,352,411
94,93,Sofia,Bulgaria,23.3218675,42.6977082,0.486344785,316,289,324
95,94,Asuncion,Paraguay,-57.575926,-25.2637399,0.4843955,304,590,612
96,95,San Salvador,El Salvador,-89.2181911,13.6929403,0.482438338,579,707,697
97,96,Managua,Nicaragua,-86.2361744,12.1149926,0.480473204,235,263,298
98,97,Beirut,Lebanon,35.5017767,33.8937913,0.4785,348,476,432
99,98,Copenhagen,Denmark,12.5683372,55.6760968,0.476518625,569,665,672
100,99,Singapore,Singapore,103.819836,1.352083,0.474528977,623,800,881
101,100,Helsinki,Finland,24.9383791,60.1698557,0.472530951,378,360,346
102,101,Oslo,Norway,10.7522454,59.9138688,0.470524441,277,295,276
103,102,San Jose,Costa Rica,-121.8863286,37.3382082,0.468509338,1294,1539,1590
104,103,Dublin,Ireland,-6.2603097,53.3498053,0.46648553,445,483,567
105,104,Zagreb,Croatia,15.9819189,45.8150108,0.464452904,275,304,300
106,105,Tbilisi,Georgia,44.827096,41.7151377,0.462411343,251,226,224
107,106,Montevideo,Uruguay,-56.1645314,-34.9011127,0.460360728,399,392,398
108,107,Ulaanbaatar,Mongolia,106.9057439,47.8863988,0.458300938,126,147,154
109,108,Yerevan,Armenia,44.4991029,40.1791857,0.456231849,336,287,283
110,109,Kingston,Jamaica,-117.9273733,33.7077611,0.454153333,3389,3822,3921
111,110,Ljubljana,Slovenia,14.5057515,46.0569465,0.452065261,157,150,152
112,111,Riga,Latvia,24.1051865,56.9496487,0.449967499,189,226,223
113,112,Tallinn,Estonia,24.7535747,59.4369608,0.447859911,126,133,132
114,113,Georgetown,Guyana,-77.0722585,38.9076089,0.445742358,1615,1802,1814
