"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"22",21,"Kolkata"," India",88.363895,22.572646,0.575450910156548,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310
"23",22,"Hangzhou"," China",120.15507,30.274084,0.573804409184872,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484
"24",23,"Surabaya"," Indonesia",112.7520883,-7.2574719,0.572153170051517,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942,2942
"25",24,"Xi'an"," China",108.93977,34.341574,0.570497151614274,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744
"26",25,"Bangalore"," India",77.5945627,12.9715987,0.568836312132058,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"27",26,"Changzhou"," China",119.974061,31.811226,0.56717060925263,3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,3069,3070,3070,3071,3071,3072,3074,3077,3077,3079,3082,3083,3088,3090,3092,3094,3098,3099,3100,3102,3108,3109,3112,3112
"28",27,"Rio de Janeiro"," Brazil",-43.1728965,-22.9068467,0.5655,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
"29",28,"Shantou"," China",116.681972,23.354091,0.563824440761484,3092,3154,3225,3290,3333,3451,3533,3614,3709,3805,3916,4018,4112,4202,4251,4395,4477,4573,4664,4737,4800,4886,4954,5032,5030,5148,5211,5260,5295,5349,5384,5419,5456,5488,5435
"30",29,"Nanjing"," China",118.796877,32.060255,0.562143887274424,2048,2048,2048,2048,2047,2048,2049,2049,2048,2049,2048,2048,2048,2048,2047,2048,2048,2048,2047,2047,2047,2047,2047,2047,2046,2048,2048,2049,2049,2049,2049,2049,2049,2049,2046
"31",30,"Rhine-Ruhr"," Germany",7.5578181,51.418754,0.560458294612543,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194
"32",31,"Jinan"," China",117.120095,36.6512,0.558767617171933,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594
"33",32,"Chennai"," India",80.2707184,13.0826802,0.557071808656658,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191
"34",33,"Harbin"," China",126.534967,45.803775,0.555370822063961,1027,1027,1028,1030,1032,1036,1042,1049,1057,1070,1086,1111,1143,1168,1181,1199,1235,1278,1311,1356,1393,1437,1480,1512,1557,1581,1633,1676,1721,1784,1858,1912,1977,2065,2130
"35",34,"Chicago"," United States",-87.6297982,41.8781136,0.553664609669067,2792,2793,2792,2792,2791,2792,2793,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2791,2790,2791,2791,2791,2791,2791,2791,2791,2791,2791
"36",35,"Zhengzhou"," China",113.625328,34.746611,0.551953123009554,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176
"37",36,"Johannesburg"," South Africa",28.0473051,-26.2041028,0.550236312869298,3021,3111,3188,3267,3316,3373,3444,3497,3566,3644,3714,3798,3872,3955,4050,4151,4246,4346,4447,4553,4659,4753,4858,4970,5037,5156,5269,5374,5473,5578,5686,5815,5928,6052,6117
"38",37,"Hanoi","Vietnam",105.8341598,21.0277644,0.585232646047706,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3339,3339,3339,3339,3339,3339,3339,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340
"39",38,"Berlin","Germany",13.404954,52.5200066,0.583613742127445,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
"40",39,"Ankara","Turkey",32.8597419,39.9333635,0.581990334971295,830,845,867,888,912,937,958,977,1002,1024,1055,1083,1117,1148,1191,1229,1292,1348,1405,1468,1529,1582,1640,1719,1793,1896,1983,2069,2188,2282,2374,2510,2620,2749,2846
"41",40,"Bangkok","Thailand",100.5017651,13.7563309,0.580362386789495,2675,2677,2680,2695,2732,2767,2806,2842,2889,2941,2994,3036,3081,3126,3161,3214,3258,3304,3351,3386,3431,3469,3519,3568,3624,3678,3731,3775,3845,3907,3964,4035,4087,4150,4189
"42",41,"London","United Kingdom",-0.1277583,51.5073509,0.578729859260778,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557,3557
"43",42,"Paris","France",2.3522219,48.856614,0.57709271352184,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498,2498
"44",43,"Rome","Italy",12.4963655,41.9027835,0.575450910156548,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
"45",44,"Pretoria","South Africa",28.2292712,-25.7478676,0.573804409184872,2954,3040,3121,3206,3257,3318,3394,3447,3524,3618,3701,3788,3880,3981,4084,4190,4295,4401,4514,4626,4732,4835,4954,5068,5157,5294,5394,5504,5614,5753,5863,6002,6134,6267,6359
"46",45,"Bogota","Colombia",-74.072092,4.7109886,0.572153170051517,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
"47",46,"Madrid","Spain",-3.7037902,40.4167754,0.570497151614274,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584
"48",47,"Buenos Aires","Argentina",-58.3815591,-34.6036844,0.568836312132058,2957,2991,3020,3052,3084,3118,3168,3207,3250,3300,3357,3404,3444,3491,3526,3578,3619,3668,3708,3757,3794,3844,3892,3945,3998,4039,4101,4156,4214,4279,4336,4399,4475,4536,4617
"49",48,"Kiev","Ukraine",30.5234,50.4501,0.56717060925263,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580
"50",49,"Kampala","Uganda",32.5825197,0.3475964,0.5655,1079,1124,1181,1226,1253,1296,1348,1411,1467,1516,1580,1629,1688,1746,1787,1877,1947,2025,2095,2169,2258,2323,2421,2503,2575,2698,2798,2912,3035,3171,3307,3425,3537,3699,3835
"51",50,"Algiers","Algeria",3.0587561,36.753768,0.563824440761484,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983,983
"52",51,"Khartoum","Sudan",32.5598994,15.5006544,0.562143887274424,1102,1103,1109,1112,1124,1122,1131,1140,1155,1179,1197,1215,1231,1242,1256,1285,1307,1329,1352,1375,1395,1418,1434,1467,1468,1512,1537,1573,1593,1622,1652,1681,1699,1730,1742
"53",52,"Warsaw","Poland",21.0122287,52.2296756,0.560458294612543,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760
"54",53,"Rabat","Morocco",-6.8498129,33.9715904,0.558767617171933,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
"55",54,"Riyadh","Saudi Arabia",46.6752957,24.7135517,0.557071808656658,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845
"56",55,"Lima","Peru",-77.042754,-12.0463731,0.555370822063961,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908
"57",56,"Tashkent","Uzbekistan",69.2400734,41.2994958,0.553664609669067,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
"58",57,"Kuala Lumpur","Malaysia",101.686855,3.139003,0.551953123009554,2175,2306,2415,2560,2692,2849,3015,3144,3323,3475,3644,3852,4005,4174,4346,4546,4746,4967,5156,5322,5515,5681,5860,6026,6119,6347,6516,6689,6873,7062,7252,7434,7620,7817,7941
"59",58,"Maputo","Mozambique",32.5731746,-25.969248,0.550236312869298,419,453,488,520,534,588,636,678,727,772,819,872,904,950,954,1031,1074,1124,1176,1228,1302,1348,1391,1446,1445,1540,1598,1643,1706,1753,1812,1875,1932,1994,1972
"60",59,"Kathmandu","Nepal",85.3239605,27.7172453,0.548514129261954,862,862,862,864,865,870,872,877,878,880,884,887,891,893,899,901,903,907,908,913,921,927,933,940,959,955,962,968,968,976,981,985,987,989,1010
"61",60,"Accra","Ghana",-0.1869644,5.6037168,0.546786521413979,1006,1012,1022,1032,1045,1048,1063,1071,1081,1097,1114,1128,1142,1156,1166,1179,1194,1219,1239,1255,1277,1308,1333,1360,1388,1416,1442,1473,1502,1543,1589,1620,1667,1706,1753
"62",61,"Yaounde","Cameroon",11.5020752,3.8480325,0.545053437747163,340,340,340,343,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341,341
"63",62,"Colombo","Sri Lanka",79.861243,6.9270786,0.543314825860661,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1569,1569,1569,1570,1570,1571,1572,1572,1573,1573,1574,1575,1575,1575,1575,1575,1577,1579,1580,1580,1582
"64",63,"Bucharest","Romania",26.1025384,44.4267674,0.54157063251251,547,547,547,548,540,548,550,550,550,550,550,550,550,550,540,550,550,550,550,550,550,550,550,550,540,550,550,550,550,550,550,550,550,550,540
"65",64,"Ouagadougou","Burkina Faso",-1.5196603,12.3714277,0.539820803600602,558,582,600,627,661,682,706,739,775,804,839,871,912,950,982,1030,1066,1107,1154,1206,1269,1330,1397,1495,1570,1644,1745,1831,1918,2002,2076,2186,2290,2402,2537
"66",65,"Bamako","Mali",-8.0028892,12.6392316,0.538065284143105,328,331,333,334,338,344,348,354,363,372,389,408,420,442,451,479,502,529,551,580,609,646,693,738,769,839,895,945,996,1052,1110,1180,1241,1315,1365
"67",66,"Santiago","Chile",-70.6692655,-33.4488897,0.536304018258301,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944
"68",67,"Lusaka","Zambia",28.3228165,-15.3875259,0.534536949143836,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
"69",68,"Amsterdam","Netherlands",4.9035614,52.3679843,0.532764019055341,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1951,1951,1951,1951,1951,1951,1951,1951,1951,1950,1951,1951,1951,1951,1951,1951,1951,1951,1951,1950
"70",69,"Guatemala City","Guatemala",-90.5068824,14.6349149,0.530985169284416,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827,827
"71",70,"Quito","Ecuador",-78.4678382,-0.1806532,0.529200340135945,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
"72",71,"Dakar","Senegal",-17.4676861,14.716677,0.527409470904723,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
"73",72,"Conakry","Guinea",-13.5784012,9.6411855,0.525612499851364,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
"74",73,"Tunis","Tunisia",10.1815316,36.8064948,0.523809364177465,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
"75",74,"Brussels","Belgium",4.3517211,50.8503463,0.522,1065,1065,1065,1064,1065,1064,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065
"76",75,"Porto Novo","Benin",2.6288523,6.4968574,0.520184342324911,870,871,873,874,874,880,888,896,908,916,931,950,958,973,983,1003,1019,1041,1060,1081,1099,1122,1147,1182,1189,1228,1251,1273,1308,1338,1364,1395,1425,1465,1497
"77",76,"Athens","Greece",23.7275388,37.9838096,0.518362325019865,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
"78",77,"La Paz","Bolivia",-68.1192936,-16.489689,0.516533880786149,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
"79",78,"Port au Prince","Haiti",-72.3074326,18.594395,0.514698941129667,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
"80",79,"Santo Domingo","Dominican Republic",-69.9312117,18.4860575,0.512857436330994,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593
"81",80,"Prague","Czech Republic",14.4378005,50.0755381,0.511009295414477,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
"82",81,"Lisbon","Portugal",-9.1393366,38.7222524,0.509154446116304,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822
"83",82,"Stockholm","Sweden",18.0685808,59.3293235,0.507292814851541,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
"84",83,"Baku","Azerbaijan",49.8670924,40.4092617,0.505424326680068,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
"85",84,"Budapest","Hungary",19.040235,47.497912,0.503548905271375,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767
"86",85,"Amman","Jordan",35.9283716,31.9453666,0.50166647286818,749,749,749,749,749,749,749,749,749,750,750,751,751,751,754,754,754,755,756,759,762,764,767,769,770,772,773,776,778,782,784,787,792,793,797
"87",86,"Minsk","Belarus",27.5615244,53.9045398,0.499776950248808,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346
"88",87,"Abu Dhabi","United Arab Emirates",54.3773438,24.453884,0.497880256688292,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
"89",88,"Belgrade","Serbia",20.4489216,44.786568,0.495976309918125,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
"90",89,"Vienna","Austria",16.3738189,48.2081743,0.494065026084624,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
"91",90,"Bern","Switzerland",7.4474468,46.9479739,0.492146319705837,389,388,387,387,386,387,386,386,389,389,392,392,390,390,386,391,395,395,395,397,397,397,398,398,386,395,395,395,396,396,396,397,397,398,386
"92",91,"Tel Aviv1","Israel",34.7692418,32.0687888,0.490220103626932,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158
"93",92,"Lome","Togo",1.2254183,6.1256261,0.488286288973999,875,923,1001,1101,1185,1283,1380,1519,1618,1726,1863,1963,2085,2197,2326,2455,2577,2686,2822,2941,3062,3206,3319,3410,3523,3639,3737,3822,3919,4024,4128,4220,4307,4385,4452
"94",93,"Sofia","Bulgaria",23.3218675,42.6977082,0.486344785106204,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
"95",94,"Asuncion","Paraguay",-57.575926,-25.2637399,0.484395499566212,631,631,631,631,632,638,641,653,665,665,678,691,720,744,757,788,802,817,839,870,889,914,939,971,976,1047,1068,1095,1120,1157,1198,1241,1281,1330,1333
"96",95,"San Salvador","El Salvador",-89.2181911,13.6929403,0.48243833802881,750,752,752,748,753,748,748,748,748,748,748,748,748,748,753,748,748,748,748,748,748,748,748,748,753,748,748,748,748,748,748,748,748,748,753
"97",96,"Managua","Nicaragua",-86.2361744,12.1149926,0.480473204247646,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
"98",97,"Beirut","Lebanon",35.5017767,33.8937913,0.4785,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557
"99",98,"Copenhagen","Denmark",12.5683372,55.6760968,0.476518625029494,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704
"100",99,"Singapore","Singapore",103.819836,1.352083,0.474528976986654,994,1013,1035,1061,1098,1138,1171,1208,1247,1290,1352,1408,1468,1529,1603,1678,1773,1850,1936,2030,2110,2223,2324,2429,2543,2676,2779,2892,2990,3097,3185,3299,3368,3443,3494
"101",100,"Helsinki","Finland",24.9383791,60.1698557,0.472530951367209,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389,389
"102",101,"Oslo","Norway",10.7522454,59.9138688,0.470524441448051,334,334,334,333,337,323,333,327,327,327,327,327,325,325,337,331,331,332,332,333,332,332,332,332,334,331,324,324,324,324,324,324,324,324,330
"103",102,"San Jose","Costa Rica",-121.8863286,37.3382082,0.468509338220702,1663,1664,1664,1664,1666,1668,1669,1668,1671,1671,1671,1673,1674,1674,1676,1679,1680,1679,1679,1680,1682,1687,1688,1688,1690,1691,1692,1694,1694,1694,1696,1698,1698,1700,1700
"104",103,"Dublin","Ireland",-6.2603097,53.3498053,0.466485530322217,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
"105",104,"Zagreb","Croatia",15.9819189,45.8150108,0.464452903963362,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"106",105,"Tbilisi","Georgia",44.827096,41.7151377,0.462411342853957,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
"107",106,"Montevideo","Uruguay",-56.1645314,-34.9011127,0.460360728125239,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392
