"","","city","country_x","corX","corY","radius","1999_ls","2000_ls","2001_ls","2002_ls","2003_ls","2004_ls","2005_ls","2006_ls","2007_ls","2008_ls","2009_ls","2010_ls","2011_ls","2012_ls","2013_ls","2014_ls","2015_ls","2016_ls","2017_ls"
"34",33,"Harbin"," China",126.534967,45.803775,0.555370822063961,642,642,1005,1002,920,893,900,888,874,874,877,847,843,1014,984,1018,1026,1031,997
"35",34,"Chicago"," United States",-87.6297982,41.8781136,0.553664609669067,2358,2358,2398,2450,2452,2463,2618,2624,2619,2575,2714,2573,2549,2588,2590,2592,2584,2500,2519
"36",35,"Zhengzhou"," China",113.625328,34.746611,0.551953123009554,1201,1201,1418,1434,1519,1720,1728,1723,1716,1715,1717,1707,1713,2139,2131,2169,2180,2189,2252
"37",36,"Johannesburg"," South Africa",28.0473051,-26.2041028,0.550236312869298,1732,1732,1773,1814,1809,1982,2332,2338,2333,2453,2453,2453,2514,2714,2673,2660,2800,2830,3100
"38",37,"Hanoi","Vietnam",105.8341598,21.0277644,0.585232646047706,2954,2954,2868,2861,2865,3028,3087,3101,3118,3159,3217,3238,3278,3298,3354,3384,3409,3504,3530
"39",38,"Berlin","Germany",13.404954,52.5200066,0.583613742127445,963,963,1204,1176,1174,1179,1031,992,993,999,994,998,996,1008,966,972,949,949,947
"40",39,"Ankara","Turkey",32.8597419,39.9333635,0.581990334971295,435,435,437,439,482,623,609,611,633,658,616,622,625,712,713,712,712,703,704
"41",40,"Bangkok","Thailand",100.5017651,13.7563309,0.580362386789495,1673,1673,1721,1727,1725,1880,1858,1860,1980,2132,2172,2192,2201,2676,2696,2694,2738,2743,2761
"42",41,"London","United Kingdom",-0.1277583,51.5073509,0.578729859260778,3511,3511,3573,3523,3550,3572,3333,3340,3334,3343,3350,3480,3495,3540,3547,3575,3568,3574,3595
"43",42,"Paris","France",2.3522219,48.856614,0.57709271352184,2304,2304,2608,2616,2614,2609,2521,2348,2362,2374,2392,2458,2468,2469,2570,2581,2559,2560,2601
"44",43,"Rome","Italy",12.4963655,41.9027835,0.575450910156548,762,762,951,960,960,990,814,866,866,865,862,980,1025,1029,1026,1026,1047,1049,1043
"45",44,"Pretoria","South Africa",28.2292712,-25.7478676,0.573804409184872,1463,1463,1616,1669,1663,1897,2272,2273,2267,2421,2421,2421,2470,2637,2602,2588,2721,2767,3065
"46",45,"Bogota","Colombia",-74.072092,4.7109886,0.572153170051517,612,612,592,600,616,679,767,775,708,711,702,706,707,712,700,740,744,748,750
"47",46,"Madrid","Spain",-3.7037902,40.4167754,0.570497151614274,745,745,775,769,775,756,638,1330,1333,1331,1327,1427,1511,1580,1572,1572,1576,1570,1609
"48",47,"Buenos Aires","Argentina",-58.3815591,-34.6036844,0.568836312132058,2687,2687,2171,2188,2218,2852,2791,2772,2778,2783,2785,2793,2801,2795,2827,2830,2830,2843,2857
"49",48,"Kiev","Ukraine",30.5234,50.4501,0.56717060925263,543,543,590,568,568,651,618,619,621,656,592,598,590,585,580,582,584,580,578
"50",49,"Kampala","Uganda",32.5825197,0.3475964,0.5655,305,305,430,543,670,619,664,726,755,819,850,878,927,940,940,966,1014,1050,1216
"51",50,"Algiers","Algeria",3.0587561,36.753768,0.563824440761484,898,898,813,813,813,856,860,869,921,933,945,950,963,988,973,998,1014,1010,1050
"52",51,"Khartoum","Sudan",32.5598994,15.5006544,0.562143887274424,611,611,648,601,601,827,834,840,835,839,847,876,899,891,1151,1150,1216,1251,1268
"53",52,"Warsaw","Poland",21.0122287,52.2296756,0.560458294612543,637,637,594,602,545,764,690,626,705,695,704,699,715,746,746,746,724,743,709
"54",53,"Rabat","Morocco",-6.8498129,33.9715904,0.558767617171933,253,253,305,295,296,397,414,424,432,435,409,404,406,412,416,428,457,431,497
"55",54,"Riyadh","Saudi Arabia",46.6752957,24.7135517,0.557071808656658,737,737,737,743,747,819,847,849,847,849,852,833,837,845,846,844,844,844,837
"56",55,"Lima","Peru",-77.042754,-12.0463731,0.555370822063961,821,821,581,674,683,698,784,791,752,753,745,757,797,910,914,918,926,929,932
"57",56,"Tashkent","Uzbekistan",69.2400734,41.2994958,0.553664609669067,923,923,912,858,852,989,1033,1091,1084,1066,1088,1093,1121,1123,1121,1040,1050,1055,1060
"58",57,"Kuala Lumpur","Malaysia",101.686855,3.139003,0.551953123009554,580,580,601,948,981,1319,1390,1400,1378,1381,1396,1472,1483,1511,1526,1536,1544,1550,1585
"59",58,"Maputo","Mozambique",32.5731746,-25.969248,0.550236312869298,116,116,97,80,81,90,126,136,197,198,300,303,310,304,310,357,315,320,604
"60",59,"Kathmandu","Nepal",85.3239605,27.7172453,0.548514129261954,407,407,559,638,663,727,734,761,780,796,773,790,832,816,829,854,825,707,580
"61",60,"Accra","Ghana",-0.1869644,5.6037168,0.546786521413979,564,564,648,633,640,790,812,811,838,871,879,889,913,958,973,996,1158,1268,1350
"62",61,"Yaounde","Cameroon",11.5020752,3.8480325,0.545053437747163,195,195,191,181,184,203,218,236,285,293,295,303,309,311,311,340,353,369,351
"63",62,"Colombo","Sri Lanka",79.861243,6.9270786,0.543314825860661,1185,1185,837,938,932,1051,1063,1361,1376,1383,1390,1416,1452,1540,1569,1576,1600,1615,1766
"64",63,"Bucharest","Romania",26.1025384,44.4267674,0.54157063251251,435,435,444,445,444,535,469,561,557,548,544,544,544,462,459,458,450,487,479
"65",64,"Ouagadougou","Burkina Faso",-1.5196603,12.3714277,0.539820803600602,174,174,205,277,287,324,252,278,308,335,371,384,394,421,480,496,512,524,623
"66",65,"Bamako","Mali",-8.0028892,12.6392316,0.538065284143105,150,150,146,138,140,219,217,215,216,226,241,292,301,322,328,329,315,345,417
"67",66,"Santiago","Chile",-70.6692655,-33.4488897,0.536304018258301,889,889,623,957,871,989,935,908,911,915,924,916,924,929,931,945,983,986,987
"68",67,"Lusaka","Zambia",28.3228165,-15.3875259,0.534536949143836,150,150,155,146,156,177,185,188,192,195,230,243,244,254,262,269,271,276,286
"69",68,"Amsterdam","Netherlands",4.9035614,52.3679843,0.532764019055341,1353,1353,1873,1851,1901,1956,1675,1679,1690,1691,1696,1700,1842,1830,1829,1854,1855,1853,2016
"70",69,"Guatemala City","Guatemala",-90.5068824,14.6349149,0.530985169284416,562,562,727,713,686,781,725,743,748,760,767,777,801,817,827,830,842,848,871
"71",70,"Quito","Ecuador",-78.4678382,-0.1806532,0.529200340135945,336,336,336,362,372,390,401,403,420,418,451,451,484,491,494,500,504,517,522
"72",71,"Dakar","Senegal",-17.4676861,14.716677,0.527409470904723,204,204,230,227,229,236,240,247,273,279,309,300,310,314,324,382,401,401,406
"73",72,"Conakry","Guinea",-13.5784012,9.6411855,0.525612499851364,180,180,89,91,104,140,180,178,212,213,217,215,216,214,216,316,339,347,336
"74",73,"Tunis","Tunisia",10.1815316,36.8064948,0.523809364177465,415,415,515,526,526,556,583,585,594,602,609,619,621,613,626,675,682,681,689
"75",74,"Brussels","Belgium",4.3517211,50.8503463,0.522,1099,1099,1470,1491,1562,1613,1201,1203,1195,1197,1198,1206,1206,1059,1058,1060,1104,1111,1114
"76",75,"Porto Novo","Benin",2.6288523,6.4968574,0.520184342324911,373,373,410,386,385,471,472,473,486,537,585,596,692,783,841,835,938,983,1083
"77",76,"Athens","Greece",23.7275388,37.9838096,0.518362325019865,538,538,520,523,536,691,624,622,618,622,622,634,634,637,649,649,604,603,602
"78",77,"La Paz","Bolivia",-68.1192936,-16.489689,0.516533880786149,120,120,156,159,156,192,179,180,179,179,179,179,179,184,185,198,196,196,197
"79",78,"Port au Prince","Haiti",-72.3074326,18.594395,0.514698941129667,450,450,491,479,492,511,528,595,568,577,659,695,690,701,702,740,737,747,665
"80",79,"Santo Domingo","Dominican Republic",-69.9312117,18.4860575,0.512857436330994,380,380,374,372,373,382,398,400,398,412,531,570,580,582,591,594,641,648,651
"81",80,"Prague","Czech Republic",14.4378005,50.0755381,0.511009295414477,432,432,450,451,443,532,469,470,475,475,472,472,472,517,514,529,511,509,473
"82",81,"Lisbon","Portugal",-9.1393366,38.7222524,0.509154446116304,569,569,601,611,610,624,461,728,728,734,764,765,767,822,821,818,815,811,823
"83",82,"Stockholm","Sweden",18.0685808,59.3293235,0.507292814851541,543,543,600,605,606,615,443,443,452,440,444,447,448,476,504,539,539,567,558
"84",83,"Baku","Azerbaijan",49.8670924,40.4092617,0.505424326680068,390,390,388,328,327,361,357,361,358,361,369,372,396,419,420,615,677,680,685
"85",84,"Budapest","Hungary",19.040235,47.497912,0.503548905271375,641,641,623,622,677,782,711,709,708,707,706,715,729,719,787,793,784,792,777
"86",85,"Amman","Jordan",35.9283716,31.9453666,0.50166647286818,454,454,472,445,454,598,605,609,620,659,670,683,699,717,735,901,909,904,940
"87",86,"Minsk","Belarus",27.5615244,53.9045398,0.499776950248808,282,282,318,330,330,324,323,308,304,304,326,325,326,334,334,330,325,325,311
"88",87,"Abu Dhabi","United Arab Emirates",54.3773438,24.453884,0.497880256688292,151,151,168,153,142,140,143,147,176,173,177,179,179,180,182,178,178,178,173
"89",88,"Belgrade","Serbia",20.4489216,44.786568,0.495976309918125,411,411,416,398,424,349,325,333,333,307,312,313,314,330,329,329,318,347,335
"90",89,"Vienna","Austria",16.3738189,48.2081743,0.494065026084624,550,550,596,602,590,611,493,519,518,508,508,509,520,495,518,518,524,521,528
"91",90,"Bern","Switzerland",7.4474468,46.9479739,0.492146319705837,257,257,403,411,428,425,428,335,342,342,343,344,345,352,359,366,342,345,338
"92",91,"Tel Aviv1","Israel",34.7692418,32.0687888,0.490220103626932,900,900,946,890,833,841,875,894,860,952,967,1019,1022,1138,1149,1169,1193,1188,1216
"93",92,"Lome","Togo",1.2254183,6.1256261,0.488286288973999,134,134,131,157,161,295,352,352,356,370,375,411,549,490,499,509,632,683,706
"94",93,"Sofia","Bulgaria",23.3218675,42.6977082,0.486344785106204,316,316,377,350,326,350,289,335,329,326,326,324,334,363,355,351,364,370,367
"95",94,"Asuncion","Paraguay",-57.575926,-25.2637399,0.484395499566212,304,304,403,410,431,585,590,599,608,622,635,612,618,622,618,626,628,631,634
"96",95,"San Salvador","El Salvador",-89.2181911,13.6929403,0.48243833802881,579,579,630,637,642,645,707,711,725,776,782,697,707,707,703,702,704,701,702
"97",96,"Managua","Nicaragua",-86.2361744,12.1149926,0.480473204247646,235,235,244,248,245,257,263,276,279,287,291,298,286,292,302,301,324,322,324
"98",97,"Beirut","Lebanon",35.5017767,33.8937913,0.4785,348,348,369,382,401,432,476,408,415,425,432,432,431,480,652,887,911,804,1065
"99",98,"Copenhagen","Denmark",12.5683372,55.6760968,0.476518625029494,569,569,619,611,597,620,665,668,676,674,674,672,684,653,689,694,695,696,685
"100",99,"Singapore","Singapore",103.819836,1.352083,0.474528976986654,623,623,606,640,620,753,800,883,855,856,866,881,934,952,960,951,975,1022,1064
"101",100,"Helsinki","Finland",24.9383791,60.1698557,0.472530951367209,378,378,367,406,405,409,360,355,360,348,348,346,346,385,388,388,402,402,391
"102",101,"Oslo","Norway",10.7522454,59.9138688,0.470524441448051,277,277,287,293,294,300,295,283,285,278,279,276,291,306,308,342,340,348,342
"103",102,"San Jose","Costa Rica",-121.8863286,37.3382082,0.468509338220702,1294,1294,1325,1332,1324,1327,1539,1554,1551,1551,1577,1590,1596,1618,1619,1643,1655,1640,1668
"104",103,"Dublin","Ireland",-6.2603097,53.3498053,0.466485530322217,445,445,469,477,479,554,483,484,484,485,488,567,571,577,577,584,584,589,592
"105",104,"Zagreb","Croatia",15.9819189,45.8150108,0.464452903963362,275,275,310,309,332,365,304,308,302,300,301,300,298,284,283,272,270,266,260
"106",105,"Tbilisi","Georgia",44.827096,41.7151377,0.462411342853957,251,251,249,251,242,227,226,225,240,241,226,224,224,242,247,233,235,235,227
"107",106,"Montevideo","Uruguay",-56.1645314,-34.9011127,0.460360728125239,399,399,349,371,367,396,392,394,398,399,399,398,389,392,394,394,394,396,395
"108",107,"Ulaanbaatar","Mongolia",106.9057439,47.8863988,0.458300938249094,126,126,119,123,128,144,147,147,150,150,151,154,159,191,195,195,195,197,201
"109",108,"Yerevan","Armenia",44.4991029,40.1791857,0.456231848954016,336,336,327,342,330,294,287,287,294,296,282,283,282,300,305,322,325,326,317
"110",109,"Kingston","Jamaica",-117.9273733,33.7077611,0.454153333137609,3389,3389,3313,3372,3393,3415,3822,3825,3861,3868,3908,3921,3873,3929,3941,3955,3961,3935,3954
"111",110,"Ljubljana","Slovenia",14.5057515,46.0569465,0.452065260775477,157,157,185,183,174,193,150,151,151,152,152,152,152,154,154,151,155,154,147
"112",111,"Riga","Latvia",24.1051865,56.9496487,0.449967498826304,189,189,281,289,278,272,226,224,222,223,223,223,221,221,219,220,203,208,204
"113",112,"Tallinn","Estonia",24.7535747,59.4369608,0.447859911132934,126,126,143,149,148,144,133,132,131,128,135,132,131,129,135,135,134,134,133
"114",113,"Georgetown","Guyana",-77.0722585,38.9076089,0.445742358319242,1615,1615,1641,1724,1741,1756,1802,1809,1787,1765,1775,1814,1875,1872,1883,1908,1932,1973,2017
