"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814,1814
"15",14,"Keihanshin (Kyoto-Osaka-Kobe)"," Japan",135.5022535,34.6937249,0.586847084000594,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523,3523
"16",15,"Wuhan"," China",114.305539,30.592849,0.585232646047706,2029,2029,2029,2029,2029,2030,2032,2031,2031,2032,2033,2033,2033,2035,2035,2036,2039,2041,2041,2041,2041,2041,2041,2041,2040,2042,2042,2042,2043,2043,2045,2047,2047,2048,2046
"17",16,"Los Angeles"," United States",-118.2436849,34.0522342,0.583613742127445,4744,4744,4746,4751,4757,4766,4777,4778,4787,4795,4796,4802,4806,4808,4810,4814,4823,4824,4827,4830,4834,4837,4841,4844,4846,4849,4850,4850,4852,4852,4853,4855,4856,4858,4857
"18",17,"Chengdu"," China",104.066801,30.572815,0.581990334971295,2585,2585,2585,2585,2586,2587,2590,2593,2592,2597,2601,2603,2608,2609,2613,2620,2622,2626,2631,2637,2641,2644,2644,2652,2655,2661,2669,2672,2681,2691,2698,2700,2710,2717,2721
"19",18,"Chongqing"," China",106.912251,29.4315861,0.580362386789495,1453,1453,1454,1453,1452,1454,1454,1454,1453,1453,1453,1453,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1453,1452
"20",19,"Tianjin"," China",117.3616476,39.3433574,0.578729859260778,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288
"21",20,"Istanbul"," Turkey",28.9783589,41.0082376,0.57709271352184,1787,1851,1912,1967,2007,2057,2101,2136,2185,2232,2260,2309,2339,2379,2412,2449,2482,2510,2542,2567,2593,2618,2642,2663,2682,2711,2730,2757,2773,2794,2818,2836,2851,2863,2874
"22",21,"Kolkata"," India",88.363895,22.572646,0.575450910156548,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307
"23",22,"Hangzhou"," China",120.15507,30.274084,0.573804409184872,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484,2484
"24",23,"Surabaya"," Indonesia",112.7520883,-7.2574719,0.572153170051517,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937,2937
"25",24,"Xi'an"," China",108.93977,34.341574,0.570497151614274,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741,1741
"26",25,"Bangalore"," India",77.5945627,12.9715987,0.568836312132058,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
"27",26,"Changzhou"," China",119.974061,31.811226,0.56717060925263,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059,3059
"28",27,"Rio de Janeiro"," Brazil",-43.1728965,-22.9068467,0.5655,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
"29",28,"Shantou"," China",116.681972,23.354091,0.563824440761484,2835,2894,2961,3005,3044,3079,3127,3175,3220,3265,3330,3396,3462,3507,3535,3594,3635,3666,3709,3748,3785,3836,3874,3900,3905,3942,3956,3967,3973,3977,3980,3981,3983,3984,3968
"30",29,"Nanjing"," China",118.796877,32.060255,0.562143887274424,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037
"31",30,"Rhine-Ruhr"," Germany",7.5578181,51.418754,0.560458294612543,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186
"32",31,"Jinan"," China",117.120095,36.6512,0.558767617171933,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593
"33",32,"Chennai"," India",80.2707184,13.0826802,0.557071808656658,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191
"34",33,"Harbin"," China",126.534967,45.803775,0.555370822063961,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009
"35",34,"Chicago"," United States",-87.6297982,41.8781136,0.553664609669067,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780
"36",35,"Zhengzhou"," China",113.625328,34.746611,0.551953123009554,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176,2176
"37",36,"Johannesburg"," South Africa",28.0473051,-26.2041028,0.550236312869298,2750,2797,2855,2929,3001,3078,3126,3181,3236,3294,3338,3376,3421,3472,3521,3562,3606,3653,3696,3748,3808,3851,3898,3961,4008,4066,4110,4158,4208,4245,4286,4325,4362,4396,4411
"38",37,"Hanoi","Vietnam",105.8341598,21.0277644,0.585232646047706,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336,3336
"39",38,"Berlin","Germany",13.404954,52.5200066,0.583613742127445,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
"40",39,"Ankara","Turkey",32.8597419,39.9333635,0.581990334971295,777,786,800,809,823,835,848,867,891,912,931,953,971,992,1017,1041,1072,1102,1135,1170,1210,1253,1287,1321,1361,1392,1428,1476,1511,1548,1580,1619,1661,1702,1742
"41",40,"Bangkok","Thailand",100.5017651,13.7563309,0.580362386789495,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674,2675,2674,2674,2674,2674,2674,2674,2674,2674,2674,2675,2674,2674,2674,2674,2674,2674,2674,2674,2674,2675
"42",41,"London","United Kingdom",-0.1277583,51.5073509,0.578729859260778,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556
"43",42,"Paris","France",2.3522219,48.856614,0.57709271352184,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497
"44",43,"Rome","Italy",12.4963655,41.9027835,0.575450910156548,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028,1028
"45",44,"Pretoria","South Africa",28.2292712,-25.7478676,0.573804409184872,2717,2762,2817,2886,2950,3027,3079,3134,3192,3251,3295,3332,3381,3435,3484,3535,3583,3633,3681,3740,3802,3849,3897,3968,4021,4078,4118,4164,4216,4256,4297,4332,4371,4401,4424
"46",45,"Bogota","Colombia",-74.072092,4.7109886,0.572153170051517,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
"47",46,"Madrid","Spain",-3.7037902,40.4167754,0.570497151614274,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584
"48",47,"Buenos Aires","Argentina",-58.3815591,-34.6036844,0.568836312132058,2856,2882,2894,2917,2935,2956,2986,3009,3026,3040,3065,3097,3118,3138,3170,3193,3219,3248,3270,3291,3316,3337,3365,3384,3405,3436,3456,3482,3504,3526,3549,3569,3592,3616,3630
"49",48,"Kiev","Ukraine",30.5234,50.4501,0.56717060925263,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580
"50",49,"Kampala","Uganda",32.5825197,0.3475964,0.5655,971,982,1002,1030,1067,1095,1125,1162,1199,1229,1269,1311,1335,1364,1400,1444,1496,1532,1563,1599,1644,1687,1727,1768,1808,1853,1902,1943,1990,2031,2087,2143,2198,2254,2317
"51",50,"Algiers","Algeria",3.0587561,36.753768,0.563824440761484,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982,982
"52",51,"Khartoum","Sudan",32.5598994,15.5006544,0.562143887274424,1101,1101,1101,1101,1101,1101,1101,1102,1102,1104,1106,1111,1112,1113,1125,1120,1120,1124,1132,1137,1146,1157,1166,1177,1196,1202,1212,1214,1234,1245,1250,1258,1277,1285,1294
"53",52,"Warsaw","Poland",21.0122287,52.2296756,0.560458294612543,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758,758
"54",53,"Rabat","Morocco",-6.8498129,33.9715904,0.558767617171933,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412
"55",54,"Riyadh","Saudi Arabia",46.6752957,24.7135517,0.557071808656658,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845
"56",55,"Lima","Peru",-77.042754,-12.0463731,0.555370822063961,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908
"57",56,"Tashkent","Uzbekistan",69.2400734,41.2994958,0.553664609669067,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
"58",57,"Kuala Lumpur","Malaysia",101.686855,3.139003,0.551953123009554,1821,1922,2015,2095,2190,2267,2337,2403,2482,2559,2633,2715,2799,2863,2935,3018,3087,3149,3214,3288,3341,3406,3456,3517,3557,3618,3672,3729,3770,3821,3867,3918,3960,4005,4037
"59",58,"Maputo","Mozambique",32.5731746,-25.969248,0.550236312869298,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318
"60",59,"Kathmandu","Nepal",85.3239605,27.7172453,0.548514129261954,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855
"61",60,"Accra","Ghana",-0.1869644,5.6037168,0.546786521413979,985,985,987,989,995,998,1005,1007,1010,1016,1021,1030,1034,1038,1047,1047,1052,1058,1063,1063,1069,1074,1078,1080,1090,1089,1094,1098,1107,1109,1109,1113,1117,1119,1132
"62",61,"Yaounde","Cameroon",11.5020752,3.8480325,0.545053437747163,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
"63",62,"Colombo","Sri Lanka",79.861243,6.9270786,0.543314825860661,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
"64",63,"Bucharest","Romania",26.1025384,44.4267674,0.54157063251251,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
"65",64,"Ouagadougou","Burkina Faso",-1.5196603,12.3714277,0.539820803600602,499,512,521,532,549,570,582,606,624,644,660,683,695,712,737,758,772,788,810,833,852,870,890,909,928,953,970,995,1014,1038,1062,1085,1108,1139,1162
"66",65,"Bamako","Mali",-8.0028892,12.6392316,0.538065284143105,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
"67",66,"Santiago","Chile",-70.6692655,-33.4488897,0.536304018258301,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944,944
"68",67,"Lusaka","Zambia",28.3228165,-15.3875259,0.534536949143836,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258
"69",68,"Amsterdam","Netherlands",4.9035614,52.3679843,0.532764019055341,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944,1944
"70",69,"Guatemala City","Guatemala",-90.5068824,14.6349149,0.530985169284416,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826,826
"71",70,"Quito","Ecuador",-78.4678382,-0.1806532,0.529200340135945,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
"72",71,"Dakar","Senegal",-17.4676861,14.716677,0.527409470904723,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309,309
"73",72,"Conakry","Guinea",-13.5784012,9.6411855,0.525612499851364,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
"74",73,"Tunis","Tunisia",10.1815316,36.8064948,0.523809364177465,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625
"75",74,"Brussels","Belgium",4.3517211,50.8503463,0.522,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
"76",75,"Porto Novo","Benin",2.6288523,6.4968574,0.520184342324911,870,870,870,870,870,870,870,870,870,871,872,874,875,876,878,885,889,892,900,902,910,923,930,938,937,949,954,963,971,981,993,1001,1010,1022,1028
"77",76,"Athens","Greece",23.7275388,37.9838096,0.518362325019865,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644,644
"78",77,"La Paz","Bolivia",-68.1192936,-16.489689,0.516533880786149,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184
"79",78,"Port au Prince","Haiti",-72.3074326,18.594395,0.514698941129667,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
"80",79,"Santo Domingo","Dominican Republic",-69.9312117,18.4860575,0.512857436330994,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593,593
"81",80,"Prague","Czech Republic",14.4378005,50.0755381,0.511009295414477,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514
"82",81,"Lisbon","Portugal",-9.1393366,38.7222524,0.509154446116304,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822
"83",82,"Stockholm","Sweden",18.0685808,59.3293235,0.507292814851541,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486
"84",83,"Baku","Azerbaijan",49.8670924,40.4092617,0.505424326680068,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
"85",84,"Budapest","Hungary",19.040235,47.497912,0.503548905271375,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767,767
"86",85,"Amman","Jordan",35.9283716,31.9453666,0.50166647286818,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749
"87",86,"Minsk","Belarus",27.5615244,53.9045398,0.499776950248808,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
"88",87,"Abu Dhabi","United Arab Emirates",54.3773438,24.453884,0.497880256688292,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
"89",88,"Belgrade","Serbia",20.4489216,44.786568,0.495976309918125,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
"90",89,"Vienna","Austria",16.3738189,48.2081743,0.494065026084624,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
"91",90,"Bern","Switzerland",7.4474468,46.9479739,0.492146319705837,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
"92",91,"Tel Aviv1","Israel",34.7692418,32.0687888,0.490220103626932,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156
"93",92,"Lome","Togo",1.2254183,6.1256261,0.488286288973999,675,724,782,835,881,935,1001,1069,1152,1225,1301,1401,1479,1570,1656,1743,1835,1930,2009,2092,2174,2260,2329,2420,2486,2572,2644,2715,2768,2831,2880,2938,2996,3053,3099
"94",93,"Sofia","Bulgaria",23.3218675,42.6977082,0.486344785106204,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
"95",94,"Asuncion","Paraguay",-57.575926,-25.2637399,0.484395499566212,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
"96",95,"San Salvador","El Salvador",-89.2181911,13.6929403,0.48243833802881,734,736,736,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732,732
"97",96,"Managua","Nicaragua",-86.2361744,12.1149926,0.480473204247646,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
"98",97,"Beirut","Lebanon",35.5017767,33.8937913,0.4785,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
"99",98,"Copenhagen","Denmark",12.5683372,55.6760968,0.476518625029494,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702,702
"100",99,"Singapore","Singapore",103.819836,1.352083,0.474528976986654,934,934,937,937,940,944,955,959,963,967,973,979,985,991,999,1004,1012,1017,1021,1028,1036,1044,1047,1053,1056,1065,1069,1077,1087,1095,1103,1114,1133,1148,1162
"101",100,"Helsinki","Finland",24.9383791,60.1698557,0.472530951367209,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
"102",101,"Oslo","Norway",10.7522454,59.9138688,0.470524441448051,306,306,306,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,305
"103",102,"San Jose","Costa Rica",-121.8863286,37.3382082,0.468509338220702,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663
"104",103,"Dublin","Ireland",-6.2603097,53.3498053,0.466485530322217,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
"105",104,"Zagreb","Croatia",15.9819189,45.8150108,0.464452903963362,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"106",105,"Tbilisi","Georgia",44.827096,41.7151377,0.462411342853957,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
"107",106,"Montevideo","Uruguay",-56.1645314,-34.9011127,0.460360728125239,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392,392
"108",107,"Ulaanbaatar","Mongolia",106.9057439,47.8863988,0.458300938249094,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194
