,city,country_x,corX,corY,radius
82,Stockholm,Sweden,18.068580800000003,59.3293235,0.5072928148515411
83,Baku,Azerbaijan,49.8670924,40.4092617,0.5054243266800679
84,Budapest,Hungary,19.040235,47.497912,0.5035489052713747
85,Amman,Jordan,35.9283716,31.945366600000003,0.5016664728681797
86,Minsk,Belarus,27.5615244,53.9045398,0.49977695024880847
87,Abu Dhabi,United Arab Emirates,54.3773438,24.453884,0.49788025668829244
88,Belgrade,Serbia,20.4489216,44.786568,0.49597630991812497
89,Vienna,Austria,16.3738189,48.2081743,0.49406502608462377
90,Bern,Switzerland,7.447446799999999,46.9479739,0.49214631970583705
91,Tel Aviv1,Israel,34.7692418,32.0687888,0.49022010362693197
92,Lome,Togo,1.2254183,6.1256261,0.48828628897399934
93,Sofia,Bulgaria,23.3218675,42.69770820000001,0.48634478510620427
94,Asuncion,Paraguay,-57.575926,-25.2637399,0.48439549956621186
95,San Salvador,El Salvador,-89.2181911,13.692940300000002,0.48243833802880964
96,Managua,Nicaragua,-86.23617440000002,12.1149926,0.48047320424764584
97,Beirut,Lebanon,35.50177670000001,33.8937913,0.4785
98,Copenhagen,Denmark,12.568337199999998,55.6760968,0.4765186250294945
99,Singapore,Singapore,103.819836,1.352083,0.47452897698665353
100,Helsinki,Finland,24.9383791,60.16985570000001,0.47253095136720935
101,Oslo,Norway,10.7522454,59.9138688,0.4705244414480506
102,San Jose,Costa Rica,-121.88632859999998,37.3382082,0.4685093382207018
103,Dublin,Ireland,-6.2603097000000005,53.34980529999999,0.4664855303222169
104,Zagreb,Croatia,15.981918900000002,45.8150108,0.46445290396336203
105,Tbilisi,Georgia,44.827096,41.71513770000001,0.46241134285395724
106,Montevideo,Uruguay,-56.1645314,-34.90111270000001,0.46036072812523876
107,Ulaanbaatar,Mongolia,106.9057439,47.8863988,0.45830093824909407
108,Yerevan,Armenia,44.4991029,40.17918570000001,0.45623184895401586
109,Kingston,Jamaica,-117.9273733,33.707761100000006,0.4541533331376089
110,Ljubljana,Slovenia,14.5057515,46.0569465,0.45206526077547693
111,Riga,Latvia,24.1051865,56.94964870000001,0.4499674988263041
112,Tallinn,Estonia,24.7535747,59.4369608,0.4478599111329345
113,Georgetown,Guyana,-77.07225849999998,38.9076089,0.44574235831924247
